order_id,customer_id,order_date,status,region_code
1,409.0,2025-04-12 23:32:22,CANCELLED,EAST
2,364.0,2025-10-05 09:19:09,DELIVERED,EAST
3,420.0,2024-09-13 13:01:00,SHIPPED,SOUTH
4,320.0,2026-04-27 13:29:14,CANCELLED,EAST
5,307.0,2026-03-18 14:54:07,CANCELLED,NORTH
6,41.0,2024-10-11 09:29:04,CANCELLED,SOUTH
7,183.0,2025-02-11 23:45:28,CANCELLED,SOUTH
8,338.0,2025-05-15 09:40:20,RETURNED,NORTH
9,489.0,2025-07-11 06:16:14,CANCELLED,SOUTH
10,1.0,2024-09-12 00:19:12,PLACED,SOUTH
11,248.0,2024-09-13 06:57:31,CANCELLED,SOUTH
12,194.0,2025-08-17 02:04:32,DELIVERED,SOUTH
13,15.0,2025-12-31 21:18:53,CANCELLED,NORTH
14,350.0,2025-08-15 01:53:08,RETURNED,WEST
15,467.0,2025-12-06 06:57:57,DELIVERED,WEST
16,75.0,2025-09-01 00:30:14,PLACED,SOUTH
17,469.0,2026-04-28 15:00:11,PLACED,WEST
18,372.0,2025-11-06 08:05:28,SHIPPED,EAST
19,135.0,2026-02-04 03:14:00,DELIVERED,EAST
20,479.0,2026-04-09 12:49:09,SHIPPED,SOUTH
21,41.0,2025-07-07 15:24:25,DELIVERED,WEST
22,421.0,2026-01-08 01:22:38,RETURNED,NORTH
23,432.0,2025-03-11 07:58:34,DELIVERED,EAST
24,175.0,2024-08-05 12:29:16,SHIPPED,EAST
25,319.0,2025-02-27 10:50:41,RETURNED,EAST
26,235.0,2026-01-15 17:19:30,SHIPPED,SOUTH
27,277.0,2025-02-20 16:36:51,DELIVERED,EAST
28,63.0,2026-06-25 15:05:41,SHIPPED,SOUTH
29,12.0,2025-03-29 03:31:33,RETURNED,WEST
30,362.0,2024-09-06 22:31:15,PLACED,NORTH
31,11.0,2025-08-16 16:04:50,PLACED,WEST
32,50.0,2026-05-23 14:43:37,DELIVERED,NORTH
33,82.0,2025-09-03 16:44:36,PLACED,NORTH
34,222.0,2026-05-04 13:46:40,DELIVERED,NORTH
35,145.0,2025-11-01 01:43:12,PLACED,SOUTH
36,142.0,2025-09-28 08:46:15,SHIPPED,NORTH
37,445.0,2024-07-31 08:19:00,SHIPPED,SOUTH
38,UNKNOWN,2026-03-03 13:31:57,RETURNED,NORTH
39,410.0,2024-11-04 13:28:18,CANCELLED,EAST
40,482.0,2025-12-10 20:36:24,CANCELLED,EAST
41,293.0,2024-10-29 20:08:34,PLACED,WEST
42,6.0,2025-11-15 22:54:44,CANCELLED,EAST
43,54.0,2025-09-06 18:06:20,CANCELLED,SOUTH
44,250.0,2024-09-28 00:43:37,DELIVERED,NORTH
45,186.0,2024-08-14 17:25:20,DELIVERED,SOUTH
46,262.0,2025-08-10 16:29:22,RETURNED,SOUTH
47,72.0,2026-03-17 12:32:44,RETURNED,SOUTH
48,350.0,2025-03-14 01:56:23,SHIPPED,NORTH
49,215.0,2025-09-20 06:00:35,CANCELLED,WEST
50,420.0,2026-05-23 15:24:06,DELIVERED,EAST
51,102.0,2026-05-22 22:11:01,PLACED,WEST
52,313.0,2024-08-03 19:45:25,CANCELLED,NORTH
53,259.0,2026-05-11 19:07:17,CANCELLED,EAST
54,UNKNOWN,2026-02-22 16:55:05,SHIPPED,NORTH
55,128.0,2024-07-30 06:38:28,SHIPPED,EAST
56,304.0,2026-04-09 06:07:16,PLACED,SOUTH
57,306.0,2025-07-24 16:44:12,CANCELLED,SOUTH
58,232.0,2026-07-09 13:39:57,CANCELLED,WEST
59,413.0,2026-01-07 04:53:07,SHIPPED,SOUTH
60,329.0,2025-08-28 01:09:25,CANCELLED,SOUTH
61,234.0,2024-09-13 15:10:08,DELIVERED,WEST
62,490.0,2024-08-19 15:08:50,SHIPPED,NORTH
63,269.0,2025-03-13 00:22:10,CANCELLED,EAST
64,145.0,2025-03-02 00:00:00,RETURNED,SOUTH
65,302.0,2025-07-27 12:53:37,DELIVERED,SOUTH
66,10.0,2025-07-23 10:21:46,CANCELLED,SOUTH
67,415.0,2025-08-11 11:46:47,CANCELLED,WEST
68,438.0,2025-06-04 06:12:13,CANCELLED,NORTH
69,61.0,2024-09-02 02:01:26,PLACED,NORTH
70,63.0,2026-05-17 15:22:25,RETURNED,SOUTH
71,294.0,2026-01-29 03:00:43,DELIVERED,WEST
72,154.0,2025-06-07 08:29:22,CANCELLED,EAST
73,101.0,2026-05-15 15:18:15,CANCELLED,WEST
74,302.0,2026-04-12 08:02:58,PLACED,NORTH
75,458.0,2025-10-15 08:10:19,SHIPPED,SOUTH
76,UNKNOWN,2025-12-10 00:16:11,RETURNED,SOUTH
77,386.0,2025-09-16 10:02:41,PLACED,NORTH
78,376.0,2024-12-15 14:57:20,PLACED,EAST
79,21.0,2026-07-05 19:48:54,DELIVERED,WEST
80,121.0,2025-12-02 16:19:09,RETURNED,NORTH
81,233.0,2024-12-21 09:13:30,DELIVERED,NORTH
82,358.0,2026-06-15 03:44:53,CANCELLED,SOUTH
83,69.0,2025-04-09 13:18:44,DELIVERED,EAST
84,402.0,2025-04-20 04:19:24,CANCELLED,EAST
85,9.0,2026-01-29 23:43:23,PLACED,NORTH
86,405.0,2025-08-01 18:23:49,DELIVERED,NORTH
87,311.0,2025-08-17 00:00:00,RETURNED,SOUTH
88,64.0,2025-02-02 02:44:32,CANCELLED,EAST
89,340.0,2025-09-18 18:01:10,SHIPPED,SOUTH
90,359.0,2025-06-02 02:23:40,SHIPPED,NORTH
91,77.0,2024-11-30 14:49:16,DELIVERED,NORTH
92,262.0,2026-04-15 17:35:51,PLACED,SOUTH
93,468.0,2025-02-05 08:19:05,SHIPPED,EAST
94,175.0,2025-12-31 04:14:32,RETURNED,EAST
95,UNKNOWN,2024-08-14 18:26:12,CANCELLED,SOUTH
96,241.0,2026-04-20 18:47:26,CANCELLED,NORTH
97,134.0,2025-10-19 10:22:05,DELIVERED,WEST
98,114.0,2025-10-24 14:22:24,DELIVERED,EAST
99,464.0,2024-09-29 03:53:01,PLACED,SOUTH
100,138.0,2025-11-21 22:05:41,DELIVERED,EAST
101,112.0,2024-07-24 00:00:00,PLACED,EAST
102,448.0,2025-02-21 05:24:20,CANCELLED,WEST
103,494.0,2026-02-08 00:27:20,CANCELLED,SOUTH
104,262.0,2025-07-16 09:15:22,RETURNED,NORTH
105,383.0,2025-10-27 00:53:52,DELIVERED,EAST
106,384.0,2026-03-31 17:40:11,CANCELLED,WEST
107,294.0,2025-06-13 03:20:50,RETURNED,EAST
108,66.0,2026-07-10 16:11:12,RETURNED,NORTH
109,138.0,2024-08-22 12:35:06,RETURNED,NORTH
110,436.0,2025-05-08 20:27:25,PLACED,NORTH
111,390.0,2025-05-22 15:28:33,RETURNED,EAST
112,118.0,2025-06-16 23:39:19,CANCELLED,NORTH
113,106.0,2025-07-18 17:49:39,RETURNED,NORTH
114,373.0,2025-09-01 23:45:32,CANCELLED,NORTH
115,497.0,2025-02-07 13:47:28,PLACED,SOUTH
116,232.0,2025-03-26 17:22:14,SHIPPED,NORTH
117,263.0,2025-10-14 01:24:52,DELIVERED,EAST
118,51.0,2025-08-29 01:45:41,SHIPPED,SOUTH
119,101.0,2024-11-20 02:39:06,RETURNED,SOUTH
120,197.0,2026-05-21 02:35:40,SHIPPED,EAST
121,312.0,2024-12-17 02:39:02,PLACED,SOUTH
122,106.0,2024-09-25 11:58:09,CANCELLED,WEST
123,120.0,2025-05-17 07:05:43,SHIPPED,SOUTH
124,248.0,2024-12-27 02:54:30,SHIPPED,NORTH
125,147.0,2025-01-29 08:52:35,CANCELLED,WEST
126,245.0,2026-02-26 11:44:49,DELIVERED,EAST
127,479.0,2025-12-15 15:46:59,CANCELLED,SOUTH
128,UNKNOWN,2026-05-31 05:09:49,SHIPPED,SOUTH
129,155.0,2024-11-21 15:20:58,PLACED,EAST
130,366.0,2024-07-12 00:00:00,RETURNED,WEST
131,14.0,2024-10-05 11:12:11,SHIPPED,NORTH
132,445.0,2026-01-16 00:51:22,PLACED,WEST
133,111.0,2025-06-17 11:36:24,RETURNED,SOUTH
134,402.0,2026-01-05 07:06:37,SHIPPED,EAST
135,17.0,2025-08-17 19:39:09,DELIVERED,WEST
136,322.0,2025-07-26 02:51:47,DELIVERED,EAST
137,309.0,2025-11-15 22:02:21,RETURNED,WEST
138,346.0,2025-01-16 03:31:26,SHIPPED,EAST
139,122.0,2025-02-04 16:34:59,RETURNED,WEST
140,229.0,2024-07-17 14:16:17,DELIVERED,SOUTH
141,70.0,2026-04-24 22:33:35,SHIPPED,SOUTH
142,305.0,2026-05-27 10:22:54,RETURNED,EAST
143,94.0,2025-12-13 07:47:56,RETURNED,WEST
144,146.0,2024-08-27 23:36:14,CANCELLED,SOUTH
145,44.0,2025-09-28 02:00:52,CANCELLED,EAST
146,180.0,2024-12-20 18:51:21,DELIVERED,WEST
147,174.0,2024-12-05 21:16:45,CANCELLED,NORTH
148,173.0,2026-05-14 11:55:40,PLACED,WEST
149,26.0,2026-01-02 11:33:15,DELIVERED,EAST
150,319.0,2025-01-12 01:10:57,CANCELLED,EAST
151,185.0,2026-01-31 15:50:47,DELIVERED,EAST
152,212.0,2025-03-18 20:25:29,SHIPPED,EAST
153,408.0,2026-01-01 21:19:35,PLACED,EAST
154,266.0,2024-12-05 16:00:32,CANCELLED,SOUTH
155,202.0,2025-07-09 21:23:48,CANCELLED,WEST
156,414.0,2025-12-03 20:32:50,RETURNED,WEST
157,39.0,2024-10-22 16:08:05,SHIPPED,SOUTH
158,203.0,2025-01-18 14:31:57,SHIPPED,SOUTH
159,412.0,2024-10-22 06:52:09,PLACED,EAST
160,421.0,2024-12-31 16:59:57,RETURNED,SOUTH
161,65.0,2026-02-15 00:33:24,PLACED,SOUTH
162,425.0,2024-07-20 20:03:11,RETURNED,WEST
163,384.0,2025-12-20 09:34:08,RETURNED,EAST
164,368.0,2025-03-11 02:25:33,SHIPPED,NORTH
165,247.0,2026-02-06 22:12:16,PLACED,WEST
166,275.0,2026-06-30 20:24:01,SHIPPED,NORTH
167,299.0,2025-12-06 17:55:06,RETURNED,SOUTH
168,212.0,2026-06-30 11:53:26,PLACED,NORTH
169,44.0,2026-05-29 09:40:51,PLACED,SOUTH
170,115.0,2024-08-26 16:17:49,SHIPPED,NORTH
171,395.0,2026-05-15 03:36:57,RETURNED,WEST
172,460.0,2025-07-16 23:37:07,RETURNED,WEST
173,346.0,2026-06-09 11:25:18,CANCELLED,NORTH
174,273.0,2026-01-29 17:59:12,CANCELLED,SOUTH
175,489.0,2026-01-18 10:34:20,PLACED,EAST
176,286.0,2024-09-18 22:22:58,PLACED,SOUTH
177,119.0,2025-11-15 00:22:05,DELIVERED,WEST
178,430.0,2026-03-01 01:47:37,PLACED,NORTH
179,UNKNOWN,2025-12-23 07:26:30,SHIPPED,EAST
180,73.0,2025-12-26 17:09:09,DELIVERED,SOUTH
181,279.0,2025-02-04 12:31:53,RETURNED,NORTH
182,300.0,2026-04-10 01:14:54,SHIPPED,WEST
183,191.0,2026-02-02 01:53:27,PLACED,NORTH
184,UNKNOWN,2026-03-24 04:40:32,DELIVERED,EAST
185,452.0,2025-02-26 20:18:37,RETURNED,NORTH
186,124.0,2025-12-09 09:21:50,PLACED,WEST
187,423.0,2025-01-27 12:23:31,PLACED,WEST
188,160.0,2024-09-11 03:54:40,PLACED,SOUTH
189,91.0,2025-01-14 15:16:44,DELIVERED,EAST
190,101.0,2025-03-25 10:48:45,DELIVERED,WEST
191,12.0,2025-03-15 12:28:47,RETURNED,WEST
192,145.0,2026-01-09 09:35:45,SHIPPED,WEST
193,239.0,2025-03-25 13:42:25,SHIPPED,EAST
194,457.0,2024-07-30 18:22:34,CANCELLED,EAST
195,UNKNOWN,2025-07-30 05:19:18,CANCELLED,WEST
196,207.0,2026-06-30 01:32:53,CANCELLED,WEST
197,40.0,2024-11-13 17:01:29,DELIVERED,NORTH
